customer_id,tenure_months,monthly_charges,support_tickets,contract,payment_method,churned,account_closed_flag
C00085,37,49.27,2,month-to-month,electronic_check,0,0
C00086,68,,1,month-to-month,electronic_check,0,0
C00087,61,34.08,1,two-year,mail,0,0
C00088,51,86.64,1,month-to-month,mail,0,0
C00089,47,51.04,0,month-to-month,electronic_check,0,0
C00090,4,66.47,3,month-to-month,card,1,1
C00091,54,75.31,1,two-year,electronic_check,0,0
C00092,35,85.48,1,one-year,electronic_check,0,0
C00093,7,61.63,1,one-year,mail,1,1
C00094,18,82.47,0,two-year,mail,0,0
C00095,39,47.75,0,month-to-month,electronic_check,0,0
C00096,53,60.96,2,one-year,card,0,0
C00097,37,,1,month-to-month,mail,0,0
C00098,45,98.29,3,one-year,card,0,0
C00099,63,69.32,4,month-to-month,mail,0,0
C00100,50,51.52,1,one-year,bank_transfer,0,0
C00101,27,61.19,2,month-to-month,bank_transfer,1,1
C00102,47,64.46,1,month-to-month,electronic_check,0,0
C00103,44,87.51,2,one-year,mail,0,0
C00104,8,30.11,2,two-year,card,0,0
C00105,5,44.07,2,month-to-month,bank_transfer,0,0
C00106,48,60.55,3,month-to-month,bank_transfer,0,0
C00107,28,133.31,0,month-to-month,bank_transfer,1,1
C00108,44,93.89,0,one-year,bank_transfer,1,1
C00109,24,67.21,4,two-year,mail,0,0
C00110,17,87.8,2,month-to-month,electronic_check,0,0
C00111,11,121.44,2,month-to-month,,1,1
C00112,28,64.16,0,month-to-month,mail,1,1
C00113,59,60.84,0,two-year,mail,0,0
C00114,29,100.3,0,month-to-month,electronic_check,1,1
C00115,28,82.35,0,month-to-month,mail,0,0
C00116,42,86.78,3,one-year,electronic_check,1,1
C00117,71,57.29,0,two-year,mail,0,0
C00118,29,118.11,2,one-year,bank_transfer,0,0
C00119,43,112.74,2,month-to-month,mail,0,0
C00120,32,84.15,2,month-to-month,bank_transfer,0,0
C00121,44,87.11,1,month-to-month,electronic_check,0,0
C00122,33,19.32,1,two-year,card,0,0
C00123,46,85.94,1,one-year,card,0,0
C00124,40,65.15,1,month-to-month,bank_transfer,1,1
C00125,49,80.85,3,month-to-month,card,1,1
C00126,69,87.06,4,one-year,mail,0,0
C00127,11,61.47,3,month-to-month,mail,0,0
C00128,41,27.74,2,one-year,electronic_check,0,0
C00129,32,,1,two-year,mail,0,0
C00130,26,51.47,1,two-year,electronic_check,0,0
C00131,18,61.75,4,two-year,electronic_check,0,0
C00132,4,54.89,1,one-year,bank_transfer,0,0
C00133,29,61.46,0,month-to-month,electronic_check,0,0
C00134,60,15.0,3,month-to-month,card,0,0
C00135,7,100.42,4,month-to-month,electronic_check,1,1
C00136,30,76.33,4,one-year,card,0,0
C00137,70,97.78,1,one-year,electronic_check,0,0
C00138,69,119.5,2,two-year,electronic_check,0,0
C00139,16,70.56,1,two-year,electronic_check,0,0
C00140,1,24.94,0,month-to-month,bank_transfer,0,0
C00141,49,47.65,0,month-to-month,electronic_check,0,0
C00142,2,39.83,1,month-to-month,bank_transfer,0,0
C00143,22,57.45,1,month-to-month,card,0,0
C00144,36,71.99,2,two-year,electronic_check,0,0
C00145,63,19.95,2,one-year,electronic_check,0,0
C00146,7,78.56,4,month-to-month,card,1,1
C00147,48,32.24,2,month-to-month,electronic_check,0,0
C00148,39,77.43,3,two-year,mail,0,0
C00149,10,67.26,0,two-year,electronic_check,0,0
C00150,61,62.16,3,one-year,bank_transfer,0,0
C00151,61,68.17,2,month-to-month,bank_transfer,1,1
C00152,35,56.51,1,month-to-month,card,1,1
C00153,69,54.69,1,one-year,card,0,0
C00154,44,27.93,2,two-year,mail,0,0
C00155,66,69.26,3,month-to-month,electronic_check,0,0
C00156,70,116.14,0,month-to-month,mail,0,0
C00157,42,119.51,3,month-to-month,card,0,0
C00158,21,103.05,4,month-to-month,electronic_check,1,1
C00159,11,87.65,3,month-to-month,mail,1,1
C00160,41,53.09,1,two-year,card,0,0
C00161,14,106.07,1,one-year,card,0,0
C00162,55,68.6,0,month-to-month,electronic_check,0,0
C00163,67,68.28,1,month-to-month,mail,0,0
C00164,18,62.72,1,month-to-month,mail,0,0
C00165,40,72.3,1,one-year,bank_transfer,0,0
C00166,4,59.12,2,month-to-month,bank_transfer,1,1
C00167,13,67.91,2,month-to-month,mail,0,0
C00168,28,42.89,4,one-year,electronic_check,1,1
C00169,64,60.66,0,two-year,card,0,0
C00170,70,127.01,2,month-to-month,,0,0
C00171,47,68.26,0,two-year,card,0,0
C00172,43,,1,month-to-month,mail,0,0
C00173,42,83.31,2,month-to-month,electronic_check,1,1
C00174,5,87.7,0,two-year,mail,0,0
C00175,28,42.16,1,two-year,mail,0,0
C00176,71,64.82,2,month-to-month,electronic_check,0,0
C00177,30,92.96,2,one-year,,0,0
C00178,16,76.75,3,one-year,bank_transfer,0,0
C00179,18,73.05,1,month-to-month,bank_transfer,0,0
C00180,52,108.85,1,one-year,electronic_check,0,0
C00181,3,53.06,2,one-year,electronic_check,1,1
C00182,70,72.07,1,month-to-month,bank_transfer,0,0
C00183,64,57.0,1,month-to-month,bank_transfer,1,1
C00184,41,107.26,1,one-year,mail,0,0
C00185,34,21.2,1,one-year,bank_transfer,0,0
C00186,55,53.25,3,month-to-month,card,0,0
C00187,40,56.77,1,one-year,electronic_check,0,0
C00188,35,86.59,1,month-to-month,card,0,0
C00189,24,85.16,0,month-to-month,bank_transfer,0,0
C00190,33,104.88,3,month-to-month,bank_transfer,1,1
C00191,55,30.65,2,one-year,card,0,0
C00192,4,88.76,5,month-to-month,electronic_check,1,1
C00193,2,,1,two-year,mail,0,0
C00194,52,53.36,1,two-year,card,0,0
C00195,27,83.49,0,month-to-month,card,0,0
C00196,58,47.0,2,month-to-month,bank_transfer,0,0
C00197,3,18.08,5,month-to-month,mail,1,1
C00198,66,60.74,1,month-to-month,mail,0,0
C00199,9,32.56,1,two-year,mail,0,0
C00200,30,53.78,1,one-year,bank_transfer,0,0
C00201,70,79.29,1,month-to-month,bank_transfer,0,0
C00202,8,77.8,0,one-year,card,0,0
C00203,48,109.67,1,month-to-month,mail,0,0
C00204,53,65.01,2,one-year,electronic_check,0,0
C00205,31,31.67,1,month-to-month,card,0,0
C00206,6,51.1,2,one-year,electronic_check,0,0
C00207,38,47.02,0,month-to-month,electronic_check,0,0
C00208,32,39.55,2,one-year,card,0,0
C00209,63,80.88,1,one-year,bank_transfer,0,0
C00210,50,53.87,0,one-year,electronic_check,0,0
C00211,25,20.57,3,one-year,bank_transfer,0,0
C00212,5,87.42,1,month-to-month,card,0,0
C00213,43,67.21,3,one-year,mail,0,0
C00214,21,78.92,3,one-year,mail,0,0
C00215,50,72.64,2,one-year,card,0,0
C00216,63,85.79,1,month-to-month,card,0,0
C00217,26,70.95,0,month-to-month,mail,1,1
C00218,66,100.91,3,two-year,bank_transfer,0,0
C00219,38,80.62,1,two-year,card,0,0
C00220,39,79.8,2,two-year,bank_transfer,0,0
C00221,56,80.25,4,month-to-month,electronic_check,1,1
C00222,57,33.58,2,two-year,bank_transfer,0,0
C00223,66,65.88,2,two-year,bank_transfer,0,0
C00224,72,63.52,1,month-to-month,bank_transfer,0,0
C00225,11,75.19,3,two-year,electronic_check,0,0
C00226,30,36.03,2,two-year,bank_transfer,0,0
C00227,68,110.85,1,month-to-month,mail,0,0
C00228,23,72.61,1,month-to-month,mail,0,0
C00229,1,39.72,0,month-to-month,mail,0,0
C00230,42,27.28,1,month-to-month,card,0,0
C00231,55,62.97,2,one-year,,0,0
C00232,54,67.76,2,one-year,mail,0,0
C00233,59,52.04,2,two-year,bank_transfer,0,0
C00234,47,72.3,3,two-year,electronic_check,0,0
C00235,10,53.97,3,month-to-month,bank_transfer,1,1
C00236,61,83.79,0,month-to-month,electronic_check,0,0
C00237,31,51.89,4,two-year,electronic_check,1,1
C00238,62,69.04,4,one-year,card,1,1
C00239,59,94.47,0,month-to-month,card,1,1
C00240,70,134.29,2,one-year,,0,0
C00241,2,44.81,2,month-to-month,mail,0,0
C00242,63,58.39,2,month-to-month,mail,1,1
C00243,46,49.0,0,two-year,mail,0,0
C00244,35,89.61,2,month-to-month,,0,0
C00245,58,41.3,0,two-year,mail,0,0
C00246,69,57.89,2,month-to-month,bank_transfer,1,1
C00247,37,69.26,2,two-year,card,0,0
C00248,7,45.53,0,two-year,mail,0,0
C00249,53,46.07,5,month-to-month,card,0,0
C00250,17,58.11,1,one-year,electronic_check,0,0
C00251,17,17.49,1,two-year,mail,0,0
C00252,14,33.86,1,month-to-month,mail,0,0
C00253,15,59.67,0,one-year,electronic_check,0,0
C00254,66,73.71,1,month-to-month,bank_transfer,0,0
C00255,27,65.36,3,month-to-month,card,1,1
C00256,8,25.65,1,month-to-month,bank_transfer,0,0
C00257,13,,3,month-to-month,card,1,1
C00258,29,89.96,0,two-year,bank_transfer,0,0
C00259,25,83.9,5,month-to-month,card,1,1
C00260,23,68.03,1,month-to-month,electronic_check,1,1
C00261,69,47.82,1,month-to-month,electronic_check,0,0
C00262,63,85.78,1,one-year,bank_transfer,0,0
C00263,42,55.53,4,two-year,electronic_check,0,0
C00264,72,,1,one-year,mail,0,0
C00265,25,49.95,0,two-year,bank_transfer,0,0
C00266,10,106.21,4,month-to-month,electronic_check,1,1
C00267,20,75.5,3,one-year,mail,0,0
C00268,7,98.98,1,month-to-month,card,1,1
C00269,69,58.02,3,two-year,electronic_check,0,0
C00270,16,,0,one-year,card,0,0
C00271,33,54.96,0,month-to-month,electronic_check,0,0
C00272,15,66.06,1,two-year,bank_transfer,0,0
C00273,71,132.16,0,month-to-month,bank_transfer,0,0
C00274,12,89.18,1,month-to-month,card,0,0
C00275,38,57.47,5,month-to-month,bank_transfer,1,1
C00276,69,67.88,0,two-year,electronic_check,0,0
C00277,38,78.16,1,month-to-month,bank_transfer,1,1
C00278,65,100.26,1,two-year,card,0,0
C00279,65,57.77,1,month-to-month,mail,0,0
C00280,56,26.47,1,one-year,card,0,0
C00281,54,63.01,3,month-to-month,bank_transfer,0,0
C00282,42,70.38,0,month-to-month,card,0,0
C00283,42,72.74,5,one-year,card,1,1
C00284,60,,1,two-year,mail,0,0
C00285,31,77.92,2,two-year,bank_transfer,1,1
C00286,69,90.32,4,month-to-month,mail,1,1
C00287,64,42.47,3,two-year,mail,0,0
C00288,27,91.7,0,month-to-month,electronic_check,0,0
C00289,30,122.41,1,month-to-month,electronic_check,1,1
C00290,52,89.32,1,month-to-month,mail,0,0
C00291,67,76.34,1,month-to-month,card,0,0
C00292,7,73.85,0,one-year,electronic_check,0,0
C00293,5,114.68,0,one-year,bank_transfer,1,1
C00294,18,46.82,1,month-to-month,electronic_check,1,1
C00295,31,67.22,3,one-year,bank_transfer,0,0
C00296,12,81.51,2,two-year,mail,0,0
C00297,38,88.6,2,one-year,card,0,0
C00298,39,,1,one-year,mail,0,0
C00299,69,77.68,0,two-year,mail,0,0
C00300,54,63.05,2,month-to-month,mail,1,1
C00301,19,73.01,1,two-year,mail,0,0
C00302,57,66.7,2,month-to-month,card,0,0
C00303,59,41.46,1,month-to-month,card,0,0
C00304,49,69.47,2,two-year,card,0,0
C00305,49,91.93,0,month-to-month,electronic_check,0,0
C00306,23,45.82,0,month-to-month,card,0,0
C00307,52,63.97,3,month-to-month,bank_transfer,1,1
C00308,10,86.62,1,month-to-month,card,1,1
C00309,46,43.25,2,month-to-month,card,1,1
C00310,67,74.57,2,month-to-month,electronic_check,0,0
C00311,70,43.5,0,month-to-month,bank_transfer,0,0
C00312,22,98.37,0,one-year,electronic_check,0,0
C00313,24,127.82,1,month-to-month,card,0,0
C00314,45,120.56,2,month-to-month,mail,1,1
C00315,29,64.52,0,one-year,electronic_check,0,0
C00316,53,88.5,2,month-to-month,electronic_check,1,1
C00317,15,73.02,3,month-to-month,bank_transfer,1,1
C00318,13,72.55,1,two-year,mail,0,0
C00319,4,108.69,2,month-to-month,electronic_check,1,1
C00320,34,37.02,0,month-to-month,bank_transfer,0,0
C00321,16,96.38,2,month-to-month,mail,1,1
C00322,22,68.78,3,month-to-month,mail,1,1
C00323,66,105.21,1,month-to-month,electronic_check,1,1
C00324,59,74.68,0,month-to-month,bank_transfer,0,0
C00325,61,53.18,2,month-to-month,bank_transfer,1,1
C00326,43,76.93,3,month-to-month,bank_transfer,0,0
C00327,9,88.4,0,one-year,,0,0
C00328,54,70.89,5,month-to-month,card,1,1
C00329,44,82.2,1,month-to-month,electronic_check,1,1
C00330,66,56.96,1,month-to-month,electronic_check,0,0
C00331,35,16.65,0,month-to-month,electronic_check,0,0
C00332,13,92.5,0,month-to-month,mail,1,1
C00333,43,87.48,1,one-year,mail,0,0
C00334,33,73.7,1,two-year,card,0,0
C00335,48,71.71,0,two-year,card,0,0
C00336,28,95.91,4,month-to-month,bank_transfer,1,1
C00337,23,58.57,2,one-year,card,0,0
C00338,10,52.34,0,one-year,electronic_check,0,0
C00339,70,65.29,1,one-year,mail,0,0
C00340,55,99.73,1,two-year,electronic_check,0,0
C00341,34,35.32,3,month-to-month,electronic_check,0,0
C00342,17,99.8,1,one-year,mail,0,0
C00343,46,54.02,3,month-to-month,card,1,1
C00344,30,42.48,5,one-year,bank_transfer,0,0
C00345,46,,0,one-year,electronic_check,0,0
C00346,7,67.58,2,month-to-month,mail,0,0
C00347,14,37.49,3,two-year,card,0,0
C00348,53,61.03,2,month-to-month,card,0,0
C00349,5,93.28,2,month-to-month,electronic_check,1,1
C00350,49,99.8,1,one-year,electronic_check,0,0
C00351,30,59.32,1,two-year,electronic_check,0,0
C00352,1,80.16,2,month-to-month,card,1,1
C00353,56,87.85,0,one-year,electronic_check,0,0
C00354,51,53.88,0,month-to-month,electronic_check,0,0
C00355,59,78.88,1,month-to-month,card,0,0
C00356,65,69.2,1,month-to-month,card,0,0
C00357,53,56.6,0,one-year,mail,0,0
C00358,61,57.7,1,month-to-month,mail,0,0
C00359,9,71.68,0,two-year,mail,0,0
C00360,67,70.75,2,month-to-month,card,0,0
C00361,66,55.86,0,month-to-month,mail,0,0
C00362,50,59.35,2,month-to-month,electronic_check,0,0
C00363,58,97.83,1,month-to-month,mail,0,0
C00364,54,75.35,4,two-year,electronic_check,0,0
C00365,64,92.13,2,two-year,bank_transfer,0,0
C00366,65,100.05,1,two-year,bank_transfer,0,0
C00367,38,84.72,2,month-to-month,mail,1,1
C00368,59,126.77,3,two-year,,0,0
C00369,66,49.37,2,month-to-month,electronic_check,0,0
C00370,22,90.21,2,month-to-month,electronic_check,0,0
C00371,4,62.05,0,one-year,electronic_check,1,1
C00372,13,116.39,1,month-to-month,mail,1,1
C00373,3,112.51,1,month-to-month,electronic_check,1,1
C00374,32,21.14,0,two-year,card,0,0
C00375,2,45.78,2,month-to-month,card,1,1
C00376,19,86.61,4,one-year,mail,0,0
C00377,19,89.75,0,month-to-month,mail,1,1
C00378,51,88.41,2,month-to-month,card,1,1
C00379,18,68.23,1,month-to-month,electronic_check,0,0
C00380,69,81.38,1,month-to-month,bank_transfer,1,1
C00381,14,86.33,1,month-to-month,card,1,1
C00382,70,68.05,0,month-to-month,electronic_check,0,0
C00383,41,95.68,2,month-to-month,bank_transfer,0,0
C00384,18,15.0,2,month-to-month,mail,0,0
C00385,3,85.84,3,month-to-month,card,0,0
C00386,23,44.15,1,two-year,electronic_check,0,0
C00387,43,93.97,1,two-year,bank_transfer,1,1
C00388,8,,1,one-year,mail,0,0
C00389,12,47.78,1,month-to-month,mail,0,0
C00390,9,79.35,3,one-year,electronic_check,1,1
C00391,49,47.22,2,one-year,bank_transfer,0,0
C00392,7,47.18,3,month-to-month,,1,1
C00393,2,30.82,6,month-to-month,bank_transfer,1,1
C00394,33,69.33,2,month-to-month,bank_transfer,0,0
C00395,23,82.42,1,month-to-month,mail,0,0
C00396,42,95.58,0,month-to-month,card,0,0
C00397,68,66.46,1,two-year,card,0,0
C00398,62,96.2,1,month-to-month,card,1,1
C00399,39,70.45,2,one-year,card,0,0
C00400,47,67.67,2,two-year,card,0,0
C00401,59,84.34,0,one-year,electronic_check,0,0
C00402,32,96.46,1,month-to-month,card,0,0
C00403,48,61.46,1,month-to-month,card,0,0
C00404,16,63.91,1,two-year,card,0,0
C00405,44,65.98,2,month-to-month,electronic_check,0,0
C00406,18,72.07,1,month-to-month,card,0,0
C00407,14,,1,one-year,mail,0,0
C00408,55,95.7,1,two-year,electronic_check,0,0
C00409,42,59.99,2,two-year,electronic_check,0,0
C00410,28,81.56,2,one-year,card,1,1
C00411,3,49.36,2,one-year,card,0,0
C00412,18,78.97,0,month-to-month,mail,1,1
C00413,58,79.79,2,month-to-month,card,1,1
C00414,34,59.48,2,one-year,bank_transfer,0,0
C00415,70,120.52,1,month-to-month,electronic_check,0,0
C00416,65,79.28,3,one-year,electronic_check,0,0
C00417,62,114.42,1,month-to-month,mail,1,1
C00418,2,93.98,3,month-to-month,card,1,1
C00419,4,53.44,1,two-year,electronic_check,1,1
C00420,42,60.45,1,month-to-month,electronic_check,0,0
C00421,25,80.9,0,one-year,electronic_check,0,0
C00422,61,71.53,2,month-to-month,mail,0,0
C00423,23,71.24,5,two-year,electronic_check,0,0
C00424,12,62.84,2,month-to-month,mail,1,1
C00425,9,24.79,1,one-year,bank_transfer,0,0
C00426,22,64.36,0,two-year,bank_transfer,0,0
C00427,46,15.0,2,month-to-month,electronic_check,0,0
C00428,10,79.3,0,month-to-month,bank_transfer,1,1
C00429,58,51.85,1,month-to-month,card,0,0
C00430,22,52.11,3,month-to-month,bank_transfer,0,0
C00431,23,64.52,1,one-year,bank_transfer,0,0
C00432,48,76.82,0,month-to-month,mail,0,0
C00433,63,34.2,1,two-year,mail,0,0
C00434,32,26.28,1,one-year,electronic_check,0,0
C00435,58,43.35,0,one-year,card,0,0
C00436,22,18.96,2,month-to-month,electronic_check,0,0
C00437,10,45.83,3,month-to-month,electronic_check,1,1
C00438,60,109.77,1,two-year,card,0,0
C00439,56,43.59,2,two-year,electronic_check,0,0
C00440,55,86.29,1,month-to-month,bank_transfer,1,1
C00441,64,35.71,2,one-year,card,0,0
C00442,36,77.48,3,one-year,bank_transfer,1,1
C00443,15,62.01,2,month-to-month,mail,0,0
C00444,43,68.5,1,month-to-month,bank_transfer,1,1
C00445,42,84.22,1,one-year,card,1,1
C00446,28,113.91,1,two-year,mail,0,0
C00447,46,74.87,2,two-year,mail,0,0
C00448,19,73.11,0,month-to-month,bank_transfer,0,0
C00449,44,45.67,1,month-to-month,bank_transfer,0,0
C00450,58,84.58,1,month-to-month,bank_transfer,0,0
C00451,7,63.85,1,month-to-month,electronic_check,0,0
C00452,33,90.8,0,two-year,card,0,0
C00453,48,,3,month-to-month,mail,1,1
C00454,4,113.52,1,two-year,card,1,1
C00455,46,20.43,2,month-to-month,mail,0,0
C00456,66,62.59,1,two-year,mail,0,0
C00457,60,92.04,4,month-to-month,bank_transfer,0,0
C00458,50,61.23,4,two-year,electronic_check,0,0
C00459,58,50.2,1,one-year,card,1,1
C00460,27,63.35,1,one-year,electronic_check,0,0
C00461,24,,1,month-to-month,electronic_check,0,0
C00462,7,72.97,3,month-to-month,electronic_check,0,0
C00463,52,131.01,2,month-to-month,electronic_check,0,0
C00464,23,98.63,2,two-year,electronic_check,0,0
C00465,63,,2,two-year,card,0,0
C00466,34,48.17,2,one-year,card,0,0
C00467,65,59.88,0,one-year,bank_transfer,0,0
C00468,10,95.11,1,month-to-month,card,1,1
C00469,12,49.46,1,two-year,mail,1,1
C00470,25,52.74,1,one-year,electronic_check,1,1
C00471,2,92.12,2,one-year,electronic_check,0,0
C00472,36,91.62,2,two-year,electronic_check,0,0
C00473,47,60.65,2,month-to-month,card,0,0
C00474,48,42.06,4,one-year,mail,0,0
C00475,16,31.26,1,one-year,electronic_check,0,0
C00476,12,52.53,1,one-year,mail,0,0
C00477,41,15.0,2,month-to-month,bank_transfer,0,0
C00478,46,88.75,2,one-year,electronic_check,1,1
C00479,69,54.25,1,two-year,mail,0,0
C00480,65,82.03,0,one-year,bank_transfer,0,0
C00481,28,116.71,3,month-to-month,bank_transfer,0,0
C00482,12,99.32,2,two-year,electronic_check,0,0
C00483,19,41.22,2,month-to-month,card,1,1
C00484,64,91.73,0,month-to-month,,0,0
C00485,33,98.95,1,two-year,card,0,0
C00486,72,51.34,1,one-year,electronic_check,0,0
C00487,48,46.17,2,month-to-month,card,0,0
C00488,43,67.26,3,two-year,card,0,0
C00489,8,29.96,4,one-year,mail,0,0
C00490,43,106.77,2,month-to-month,card,0,0
C00491,28,15.0,0,month-to-month,bank_transfer,0,0
C00492,61,42.33,0,two-year,electronic_check,0,0
C00493,10,63.26,1,two-year,bank_transfer,0,0
C00494,14,64.32,0,month-to-month,,1,1
C00495,48,74.15,0,month-to-month,mail,0,0
C00496,49,76.79,3,one-year,card,0,0
C00497,60,64.66,2,month-to-month,card,0,0
C00498,38,98.42,1,month-to-month,bank_transfer,1,1
C00499,28,16.52,0,month-to-month,electronic_check,0,0
C00500,23,70.0,1,two-year,electronic_check,0,0
C00501,27,,2,one-year,mail,0,0
C00502,48,73.31,0,month-to-month,card,0,0
C00503,39,75.52,2,two-year,mail,0,0
C00504,22,47.2,1,one-year,card,0,0
C00505,16,53.98,2,month-to-month,card,1,1
C00506,52,89.81,2,month-to-month,bank_transfer,0,0
C00507,18,78.73,1,month-to-month,bank_transfer,1,1
C00508,16,52.99,1,month-to-month,mail,1,1
C00509,24,121.0,3,month-to-month,bank_transfer,1,1
C00510,62,127.73,0,month-to-month,bank_transfer,1,1
C00511,33,33.44,1,two-year,electronic_check,0,0
C00512,43,77.54,0,one-year,electronic_check,0,0
C00513,6,132.72,2,month-to-month,card,1,1
C00514,25,89.6,3,two-year,card,0,0
C00515,55,75.53,2,one-year,,0,0
C00516,56,64.8,1,two-year,bank_transfer,0,0
C00517,42,56.47,1,two-year,bank_transfer,0,0
C00518,64,64.69,2,one-year,electronic_check,0,0
C00519,22,56.23,2,one-year,card,1,1
C00520,12,88.62,1,one-year,card,0,0
C00521,6,60.05,1,one-year,electronic_check,1,1
C00522,15,58.97,4,two-year,electronic_check,0,0
C00523,55,39.95,1,month-to-month,bank_transfer,0,0
C00524,66,68.76,2,month-to-month,bank_transfer,0,0
C00525,10,47.65,0,month-to-month,bank_transfer,0,0
C00526,37,65.48,1,two-year,,0,0
C00527,10,,1,two-year,bank_transfer,0,0
C00528,61,79.15,1,month-to-month,bank_transfer,0,0
C00529,10,82.62,0,month-to-month,bank_transfer,0,0
C00530,47,78.9,0,month-to-month,electronic_check,1,1
C00531,6,71.48,1,two-year,bank_transfer,0,0
C00532,54,66.82,2,one-year,electronic_check,0,0
C00533,66,62.3,4,two-year,bank_transfer,0,0
C00534,53,88.98,1,one-year,electronic_check,0,0
C00535,20,42.89,4,month-to-month,electronic_check,1,1
C00536,61,103.52,1,one-year,,1,1
C00537,23,70.85,1,two-year,card,0,0
C00538,55,51.28,5,two-year,mail,0,0
C00539,60,57.77,1,month-to-month,electronic_check,0,0
C00540,35,53.08,1,month-to-month,electronic_check,0,0
C00541,45,74.01,2,two-year,bank_transfer,0,0
C00542,62,52.05,2,month-to-month,,0,0
C00543,14,98.55,2,two-year,card,0,0
C00544,2,50.46,2,month-to-month,bank_transfer,0,0
C00545,32,,2,two-year,card,0,0
C00546,14,51.73,0,month-to-month,bank_transfer,0,0
C00547,64,19.79,1,month-to-month,mail,0,0
C00548,63,69.0,1,month-to-month,mail,0,0
