customer_id,tenure_months,monthly_charges,support_tickets,contract,payment_method,churned
C00082,70,47.45,2,one-year,bank_transfer,0
C00083,18,33.27,1,month-to-month,mail,0
C00084,50,73.22,2,two-year,electronic_check,0
C00085,50,36.65,2,month-to-month,card,1
C00086,23,,0,month-to-month,electronic_check,0
C00087,42,72.54,2,month-to-month,bank_transfer,0
C00088,25,49.44,0,month-to-month,bank_transfer,1
C00089,56,47.76,3,month-to-month,card,0
C00090,22,81.4,1,month-to-month,bank_transfer,1
C00091,45,97.76,0,month-to-month,card,0
C00092,37,88.28,2,one-year,card,0
C00093,21,92.46,0,month-to-month,mail,1
C00094,65,32.92,0,one-year,electronic_check,0
C00095,66,86.35,4,month-to-month,electronic_check,0
C00096,37,69.67,5,one-year,electronic_check,1
C00097,42,52.08,2,month-to-month,electronic_check,0
C00098,20,62.46,0,one-year,electronic_check,0
C00099,52,60.44,2,two-year,bank_transfer,1
C00100,61,43.78,2,two-year,card,0
C00101,49,21.25,1,month-to-month,mail,0
C00102,32,79.26,0,two-year,mail,0
C00103,56,76.4,2,month-to-month,card,0
C00104,25,103.24,3,one-year,card,0
C00105,55,98.49,1,month-to-month,card,0
C00106,13,74.62,3,month-to-month,mail,1
C00107,30,91.27,1,month-to-month,electronic_check,1
C00108,46,108.47,5,one-year,electronic_check,0
C00109,3,52.63,1,month-to-month,card,1
C00110,54,63.44,2,month-to-month,mail,0
C00111,35,76.75,4,two-year,card,0
C00112,37,36.04,1,month-to-month,mail,0
C00113,65,42.9,3,month-to-month,electronic_check,0
C00114,23,86.53,2,month-to-month,card,1
C00115,11,59.23,3,month-to-month,bank_transfer,1
C00116,10,81.33,1,month-to-month,card,0
C00117,57,67.13,4,one-year,electronic_check,0
C00118,27,100.85,4,month-to-month,mail,1
C00119,48,76.86,2,month-to-month,bank_transfer,0
C00120,5,73.33,2,month-to-month,mail,1
C00121,51,63.08,2,month-to-month,bank_transfer,0
C00122,63,44.39,0,one-year,,0
C00123,16,31.31,0,two-year,electronic_check,0
C00124,65,136.68,3,month-to-month,bank_transfer,0
C00125,6,77.88,3,month-to-month,bank_transfer,1
C00126,26,95.75,1,month-to-month,bank_transfer,0
C00127,20,47.9,0,month-to-month,bank_transfer,0
C00128,21,81.75,1,one-year,bank_transfer,0
C00129,45,79.55,1,two-year,bank_transfer,0
C00130,55,48.4,0,month-to-month,bank_transfer,0
C00131,28,120.45,1,month-to-month,,1
C00132,17,107.31,2,one-year,mail,0
C00133,19,65.99,2,month-to-month,electronic_check,0
C00134,27,97.94,1,month-to-month,mail,1
C00135,29,99.66,2,month-to-month,card,1
C00136,71,84.78,1,one-year,mail,0
C00137,53,83.53,4,month-to-month,card,1
C00138,32,73.65,2,one-year,electronic_check,0
C00139,19,70.27,2,one-year,electronic_check,0
C00140,1,34.14,1,month-to-month,bank_transfer,0
C00141,40,59.37,4,month-to-month,card,1
C00142,2,81.65,4,two-year,card,1
C00143,30,63.82,1,month-to-month,electronic_check,1
C00144,18,97.64,2,two-year,bank_transfer,0
C00145,72,72.52,4,month-to-month,mail,0
C00146,72,49.13,0,one-year,electronic_check,0
C00147,62,38.78,4,two-year,card,0
C00148,37,46.87,3,two-year,bank_transfer,0
C00149,53,69.13,0,month-to-month,bank_transfer,0
C00150,31,64.67,1,two-year,mail,0
C00151,40,15.0,1,month-to-month,electronic_check,0
C00152,8,83.56,3,month-to-month,card,1
C00153,29,109.82,3,month-to-month,electronic_check,1
C00154,37,52.65,0,one-year,card,0
C00155,49,81.63,1,month-to-month,card,0
C00156,26,50.7,3,two-year,,0
C00157,61,102.55,4,month-to-month,electronic_check,0
C00158,23,50.06,1,one-year,electronic_check,0
C00159,11,65.53,5,two-year,bank_transfer,1
C00160,63,105.99,2,two-year,card,0
C00161,3,93.41,2,month-to-month,bank_transfer,1
C00162,29,62.12,3,two-year,mail,0
C00163,34,100.91,3,month-to-month,electronic_check,1
C00164,1,86.01,1,month-to-month,bank_transfer,1
C00165,20,96.61,1,two-year,card,0
C00166,60,108.41,0,one-year,electronic_check,0
C00167,64,110.84,0,two-year,electronic_check,0
C00168,30,47.8,2,one-year,electronic_check,0
C00169,19,49.18,0,one-year,mail,0
C00170,20,83.23,3,one-year,bank_transfer,1
C00171,66,62.52,0,two-year,card,0
C00172,69,15.0,2,month-to-month,card,0
C00173,37,94.4,0,month-to-month,card,0
C00174,33,38.38,2,month-to-month,mail,1
C00175,61,62.61,0,month-to-month,electronic_check,0
C00176,21,52.92,2,month-to-month,bank_transfer,1
C00177,33,61.26,3,month-to-month,card,1
C00178,33,85.62,4,month-to-month,card,0
C00179,52,24.76,3,month-to-month,electronic_check,0
C00180,4,62.14,2,month-to-month,mail,1
C00181,71,,2,two-year,bank_transfer,0
C00182,55,61.63,0,two-year,bank_transfer,0
C00183,12,76.6,2,one-year,electronic_check,0
C00184,53,94.24,1,one-year,electronic_check,0
C00185,19,63.94,3,one-year,mail,0
C00186,30,132.04,1,month-to-month,mail,1
C00187,38,93.28,0,one-year,electronic_check,0
C00188,50,100.9,1,month-to-month,mail,1
C00189,28,88.48,1,month-to-month,card,1
C00190,16,63.56,1,month-to-month,electronic_check,1
C00191,58,58.08,0,month-to-month,card,1
C00192,7,47.16,3,month-to-month,electronic_check,0
C00193,67,70.8,2,one-year,card,0
C00194,62,15.0,2,month-to-month,bank_transfer,0
C00195,42,57.83,0,one-year,electronic_check,0
C00196,32,69.2,1,two-year,card,0
C00197,10,35.09,4,month-to-month,bank_transfer,1
C00198,59,43.18,1,two-year,card,0
C00199,28,80.1,1,one-year,electronic_check,0
C00135,29,99.66,2,month-to-month,card,1
C00127,20,47.9,0,month-to-month,bank_transfer,0
C00191,58,58.08,0,month-to-month,card,1
C00066,21,57.31,0,month-to-month,electronic_check,0
C00119,48,76.86,2,month-to-month,bank_transfer,0
